Name,latitude,longitude,type
Kébab le pouce,49.8905962,2.3078521,restaurant
Subway,49.890755,2.3076055,restaurant
Restaurant Chinois,49.8906365,2.3077449,restaurant
Match,49.8905936,2.3078831,commerce
Gare,49.8912243,2.3083925,lieu public
Maison d’arrêt,49.8913894,2.3083597,lieu public
UFR des Sciences,49.8973056,2.3066345,lieu public
Boulanger,49.8904871,2.307745,commerce
Ametis,49.8905793,2.3074516,lieu public
Vers rue piétonne,49.8905996,2.3075764,autre
Vers rue Jules Barni,49.8892361,2.3112868,autre
